
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	24	
ALLUVION	47	
BIOLOGICAL	26	
CONFLICT MAN WILD FAUNA	517	
CYCLONE	190	
DROUGHT	927	
EARTHQUAKE	8	
EPIDEMIC	668	
EXPLOSION	1	
FIRE	142	
FLASH FLOOD	510	
FLOOD	618	
FOREST FIRE	288	
HAILSTORM	8	
HEAT WAVE	25	
LANDSLIDE	7	
LIGHTNING	20	
OTHER	10	
PLAGUE	442	
RAINS	172	
STORM	218	
STRONG WIND	162	
SURGE	1	
THUNDER STORM	9	
TROP. DEPRESS.	36	
TOTAL	5076	

