
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	441	
armed conflict	13	
Asphyxia	2	
BIOLOGICAL	25	
COASTAL EROSION	1	
Cyclone	1	
DROUGHT	1	
EARTHQUAKE	38	
EPIDEMIC	5416	
EXPLOSION	34	
fall into a well	2	
FIRE	21	
FLASH FLOOD	6	
FLOOD	85	
gunshot	54	
HEAT WAVE	1	
LANDSLIDE	65	
LIQUEFACTION	333	
POLLUTION	2	
projectile	8	
RAINS	55	
rock collapse	2	
SAND STORM	4	
Sinking	7	
SNOWSTORM	1	
STORM	4	
STRONG WIND	2	
STRUCTURAL COLLAPSE	30	
SUBSIDENCE	1	
SURGE	1	
THUNDER STORM	61	
TORNADO	1	
TSUNAMI	1	
war	4	
TOTAL	6723	

