
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2007	6	0	0	0	2	4	14	24	0	38	0	0	0	0	25	0	0	
2008	38	4	13	3	16	109	204	225	3	819	0	0	0	0	120	0	6000	
2009	22	0	0	1	4	578	92	2795	0	234	0	0	0	0	1500	0	150	
2011	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	
2015	5	0	0	0	0	11	0	27	0	0	0	0	0	0	0	0	8	
2017	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	
2018	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	
TOTAL	80	4	13	4	23	702	314	3071	3	1091					1645		6303	

