
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2008	12	0	0	0	4	30	2	92	0	9	0	0	0	0	0	0	0	
2009	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4100	
2010	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	23	4	32	0	3	124	0	200	0	30	0	0	2	0	34	0	50	
2012	17	0	0	0	0	39	39	205	0	18	0	0	2	0	0	0	329	
2013	10	0	16	0	2	2	11	60	0	0	0	0	1	0	0	0	5293.2	
2014	30	0	0	0	0	13	0	35	0	0	0	0	1	0	0	0	588.7	
2015	35	0	0	0	3	23	73	589	0	73	0	0	0	0	0	0	904	
2016	48	0	1	0	1	20	3	13111	0	5	0	0	2	0	0	0	1062.5	
2017	66	1	4	0	1	60	4	211	0	15	0	0	0	0	0	0	2402	
2018	26	0	9	0	0	3	4	3	0	4	0	0	0	0	0	0	935.5	
2019	9	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	218	
TOTAL	282	5	62		16	315	143	14506		154			8		34		15882.9	

