
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	1	0	0	0	0	0	33	0	0	0	0	10000000	0	0	0	0	0	
2003	1	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	11	0	0	128	0	0	0	74000000	0	0	0	0	0	
2008	2	0	0	0	15	0	0	171	0	0	0	140150000	0	0	0	0	0	
2011	1	0	0	0	6	0	0	106	0	0	0	0	0	0	0	0	0	
TOTAL	9				32		265	405				224150000						

