
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1994	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	1	0	0	0	30	1	0	0	0	1000000	1000000000	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	
2018	6	3	0	0	10	23	0	0	0	50	0	0	0	0	4	0	0	
2019	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2021	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	43	17	3		10	57	1			50	1000000	1000000000			204			

