
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1974	11	0	0	0	0	0	0	6737	0	0	0	0	0	0	0	0	0	
1975	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	16	0	0	0	0	0	0	1780	0	0	0	0	0	0	0	0	0	
1977	10	0	0	0	0	0	0	16965	0	0	0	0	0	0	0	0	0	
1978	17	0	0	0	0	0	0	80000	0	0	0	0	0	0	0	0	0	
1979	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	12	0	0	0	0	0	0	88035	0	0	0	0	0	0	0	0	0	
1982	52	0	0	0	0	0	0	508875	0	0	0	0	0	0	0	0	0	
1983	51	0	0	0	0	0	0	463680	0	0	0	0	0	0	0	0	0	
1984	9	0	0	0	0	0	0	1266	0	0	0	0	0	0	0	0	0	
1985	26	0	0	0	0	0	0	225000	0	0	0	0	0	0	0	0	0	
1986	38	0	0	0	0	0	0	637114	0	600	0	0	0	0	0	0	0	
1987	56	0	0	0	0	0	0	110000	0	0	0	0	0	0	0	0	0	
1988	22	0	0	0	0	0	0	1624655	0	0	0	0	0	0	0	0	0	
1989	55	0	0	0	0	0	0	181275	0	0	0	0	0	0	0	0	0	
1990	44	0	0	0	0	0	0	615214	0	0	0	0	0	0	0	0	0	
1991	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	119	0	0	0	0	0	0	608585	0	0	0	0	0	0	0	0	0	
1993	18	0	0	0	0	0	0	28775	0	0	0	0	0	0	0	0	0	
1994	5	0	0	0	0	0	0	8220	0	0	0	0	0	0	0	0	0	
1995	18	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	
1996	24	0	0	0	0	0	0	148795	0	0	0	0	0	0	0	0	0	
1997	27	0	0	0	0	0	0	723080	0	0	0	0	0	0	0	0	0	
1998	10	0	0	0	0	0	0	7485	0	0	0	0	0	0	0	0	0	
1999	10	0	0	0	0	0	0	42185	0	0	0	0	0	0	0	0	0	
2000	29	0	0	0	0	0	0	50432	0	0	0	0	0	0	0	0	0	
2001	146	0	0	0	0	0	0	3128156	0	0	0	0	0	0	0	0	0	
2002	29	0	0	0	0	0	0	159967	0	0	0	0	0	0	0	0	0	
2003	44	0	0	0	0	0	0	187424	0	0	0	0	0	0	0	0	0	
2004	210	0	0	0	0	0	0	2692319	0	0	0	0	0	0	0	0	0	
2005	53	0	0	0	0	0	0	31497	0	0	0	0	0	0	0	0	0	
2006	75	0	0	0	0	0	0	51904	0	0	0	0	0	0	0	0	0	
2007	178	0	0	0	0	0	0	107789	0	0	0	0	0	0	0	0	0	
2008	176	0	0	0	0	0	0	135292	0	0	0	0	0	0	0	0	0	
2009	302	0	0	0	0	0	0	235238	0	0	0	0	0	0	0	0	0	
2010	28	0	0	0	0	0	0	13395	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	0	68459	0	0	0	0	0	0	6830.189	0	0	
2012	116	0	0	0	0	0	0	892383	0	0	0	0	0	0	98077.489	0	0	
2013	6	0	0	0	0	0	0	78234	0	0	0	0	0	0	3608.917	0	0	
2014	122	0	0	0	0	0	0	1495082	0	0	0	0	0	0	0	0	0	
2015	45	0	0	0	0	0	0	258096	0	0	0	0	0	0	0	0	0	
2016	194	0	0	0	0	0	0	1068794	0	0	0	0	0	0	1370	0	0	
2017	259	0	0	0	0	0	0	2876434	0	0	0	0	0	0	1122.8	0	0	
2018	127	0	0	0	0	0	0	925947	0	0	0	0	0	0	892.17	0	0	
2019	201	0	0	0	0	0	0	935098	0	0	0	0	0	0	0	0	0	
TOTAL	3068							21521041		600					111901.57			

