
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	16	4	0	0	46	8	0	0	0	0	0	801750	0	0	0	2	0	
1972	36	6	7	0	561	6	0	300	0	0	0	4300110	0	0	0	25	0	
1973	80	16	7	0	1610	50	0	0	0	0	0	3109000	0	0	0	45	0	
1974	77	13	9	0	829	9	0	3895	0	0	0	6845152	1	0	0	78	0	
1975	62	11	4	0	1901	2	0	30104	0	0	0	5042170	0	0	0	103	0	
1976	137	39	37	0	4808	14	0	8078	0	0	0	35500099	1	0	0	1300	0	
1977	81	10	57	0	1243	5	0	958	0	0	0	1116313	0	0	0	154	0	
1978	79	11	10	0	1445	13	0	667	0	0	0	9930200	0	0	0	57	0	
1979	98	52	6	0	1333	48	0	5056	0	0	0	12560244	0	0	0	252	0	
1980	64	13	52	0	1919	22	0	4096	0	0	0	10494713	0	0	0	130	0	
1981	64	11	49	0	480	6	0	1260	0	224	0	4487500	0	0	0	29	0	
1982	50	11	10	0	955	16	0	1215	0	0	0	45499700	0	0	0	2172	0	
1983	56	7	20	0	1191	1	0	2838	0	0	0	28528975	0	0	0	12	0	
1984	99	23	5	0	1839	4	0	7569	0	0	0	33369052	0	0	0	322	0	
1985	64	14	12	0	1148	1	0	3270	0	0	0	24948710	0	0	0	869	0	
1986	41	17	1	0	1023	17	0	3434	0	0	0	227569000	0	0	0	184	0	
1987	57	7	10	0	564	3	0	8961	0	0	0	15032500	0	0	0	148	0	
1988	53	10	2	0	843	22	0	936	0	0	0	1903053	0	0	0	57	0	
1989	169	26	14	0	4014	40	0	6708	0	118	0	61789415	2	0	0	192	0	
1990	74	9	12	0	278	19	0	844	0	0	0	19916044	0	0	0	4	0	
1991	92	23	15	0	1324	8	0	1568	0	0	0	85342463	1	0	0	41	0	
1992	230	45	9	0	4620	9	0	7664	0	0	0	183778531	1	0	0	244	0	
1993	145	25	25	0	2714	27	0	7646	0	0	0	99426105	0	0	0	368	0	
1994	141	52	33	0	2585	193	0	12283	0	0	0	89588020	0	0	0	482	0	
1995	161	100	48	0	4615	208	0	21287	0	0	0	1731048477	0	0	0	498	0	
1996	125	117	74	0	6008	189	0	37898	0	0	0	105402885	0	0	0	1192	0	
1997	204	78	54	0	3120	138	0	18173	0	0	0	146865272	0	0	0	865	0	
1998	48	20	16	0	854	22	0	0	0	0	0	70121060	0	0	0	26	0	
1999	133	39	13	0	1319	33	0	5073	0	0	0	151261596.5	0	0	252	143	0	
2000	160	40	17	0	999	14	0	2624	0	0	0	85950650	4	0	0	97	0	
2001	251	52	44	0	2065	28	0	1440	0	0	0	179989151	4	0	0	822	0	
2002	85	14	11	0	663	115	0	2154	0	0	0	2039746500	0	0	0	2079	0	
2003	149	37	18	0	978	11	0	8686	0	0	0	109432000	3	1	0	114	0	
2004	135	20	21	0	769	28	0	141	0	0	0	103673920	4	0	100	100170	0	
2005	123	15	15	0	1212	37	0	1480	0	0	0	129939000	2	0	0	460	0	
2006	122	40	46	0	734	45	0	0	350	2	0	376778000	0	0	0	184	0	
2007	120	20	29	0	610	43	0	155	68	4	0	195233000	0	1	0	63	0	
2008	305	69	144	0	2381	170	0	13878	942	0	0	349001500	5	4	1500	150	25	
2009	389	64	133	0	2410	118	0	12471	334	0	0	547976200	42	2	0.5	286	0	
2010	365	60	59	0	2114	90	0	7470	4577	0	0	761668500	2	0	188	751	0	
2011	326	34	103	0	2249	100	0	12028	10493	44	0	1194357600	3	0	19.4	798	0	
2012	425	64	160	0	3138	136	0	29825	22623	1	0	16187996886	3	0	27.74	8858	0	
2013	313	48	87	0	2135	86	0	8488	7614	0	0	894274000	5	0	5.35	394	0	
TOTAL	6004	1386	1498		77646	2154		302621	47001	393		26371595016.5	83	8	2092.99	125220	25	

