
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
1972	3	3	0	0	0	50	0	0	0	0	0	0	1	0	0	0	0	
1973	2	0	5	0	0	27	0	0	0	0	0	600000	0	0	0	0	0	
1975	1	2	0	0	0	9	0	0	0	0	0	8500	0	0	0	10	0	
1976	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1977	3	0	11	0	0	50	0	0	0	0	0	0	0	0	0	0	0	
1978	2	4	2	0	1	1	0	0	0	0	0	14500	0	0	0	1	0	
1979	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1980	4	8	3	0	0	56	0	0	0	0	0	0	0	0	0	15	0	
1981	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	
1989	2	1	2	0	0	1	0	0	0	0	0	100000	1	0	0	0	0	
1990	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1993	3	1	0	0	1	26	0	0	0	0	0	0	0	0	0	0	0	
1994	17	1	3	1	303	29	0	197	0	0	0	534280	8	0	0	1	0	
1997	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	3	0	101	1	100	0	0	0	0	0	0	0	0	0	0	0	0	
2000	25	9	2	0	4	156	0	0	0	0	0	6827000	0	0	0	107	0	
2001	13	6	22	0	300	0	0	0	0	0	0	800000	2	0	0	0	0	
2002	2	0	3	0	300	32	0	1620	0	0	0	10000000	0	0	0	23	0	
2003	1	3	0	0	4	22	0	0	0	0	0	0	1	0	0	0	0	
2004	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	7	1	12	0	0	1	0	0	0	0	0	1000000	0	0	87	0	0	
2007	1	2	1	0	1	2	0	0	0	0	0	150000	0	0	0	200	0	
2008	13	2	116	0	4	86	0	580	0	0	0	2600000	1	0	0	1	0	
2010	1	0	0	0	1	1	0	0	0	0	0	2000000	0	0	0	0	0	
TOTAL	123	52	283	2	1022	566		2397				24634280	16		87	358		

