
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	1200	0	0	0	2000000	0	0	0	0	0	
1983	1	0	0	0	0	0	0	31000	0	0	30000	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	6	440	0	0	0	0	0	3658961	0	0	80000000	0	0	0	0	0	0	
1998	11	0	0	0	0	0	0	805635	0	0	75000000	402722	0	0	0	0	0	
1999	1	1	0	0	0	0	0	84000	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	0	12500	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	26	441						4633296			155030000	2402722						

