
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1567	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1595	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1825	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1830	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1840	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1850	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1853	2	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1866	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1870	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1878	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1886	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1888	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1890	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1894	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1895	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1899	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1913	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1914	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1935	1	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	
1936	1	505	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	
1937	1	506	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	
1941	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1943	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	2	0	0	0	0	0	0	3800	0	0	0	0	0	0	0	0	0	
1951	1	2942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1954	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1957	1	0	0	0	0	0	0	3200	0	0	0	0	0	0	0	0	0	
1960	1	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	
1971	2	0	0	0	0	0	0	6000	0	0	0	0	0	0	0	0	0	
1972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	8	0	0	0	0	0	257002	53000	100000	170000000	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	21	0	0	0	0	0	4829	0	0	0	0	0	0	0	0	0	
1997	2	17	0	0	0	0	0	3000	0	0	200000	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	3750	0	0	0	0	0	0	0	0	0	
2001	2	1	0	0	0	0	0	6200	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	13000	0	0	0	0	0	0	0	0	0	
2004	2	0	0	0	0	0	0	9600	0	0	0	0	0	0	0	0	0	
2005	5	0	0	0	0	0	0	20000	0	3271	0	0	0	0	0	0	0	
2006	6	2	0	0	0	0	0	2412	0	2000	0	0	0	0	0	0	0	
2009	2	0	0	0	0	0	0	400	70	350	0	0	0	0	0	0	0	
2010	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	2	0	0	0	455	0	0	0	6200	0	0	0	0	0	0	0	0	
2020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	86	4111			455			388893	59270	105621	170200000							

