
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	8	143	812	0	31	889	0	6587	0	0	0	0	1	0	0	0	0	
2001	13	932	276	0	94	110	0	545018	0	0	0	0	6	1	0	0	0	
2002	9	133	133	0	10	101	0	273	0	0	0	0	3	0	0	0	0	
2003	16	78	399	0	85	76	0	341869	0	0	0	0	13	6	0	57	0	
2004	6	69	79	0	14	853	0	1122	0	0	0	0	1	0	0	0	0	
2005	17	233	354	0	178	174	0	18313	0	0	0	0	4	2	0	19	0	
2006	13	63	104	0	28	99	0	715	0	0	0	0	2	1	0	0	0	
2007	5	9	42	0	67	12	0	6708	0	0	0	0	0	0	0	4	0	
2008	10	121	86	4	47	42	0	1195	0	0	0	0	2	0	0	0	0	
2009	4	145	28	0	1	15	0	0	0	0	0	0	1	1	0	0	0	
2010	2	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2012	9	23	82	0	0	65	0	0	0	0	0	0	2	1	0	0	0	
2013	16	18	214	0	9	51	0	528	0	0	0	0	6	2	0	19	0	
2014	10	15	108	0	0	124	0	1875	0	0	0	0	6	1	0	0	0	
TOTAL	138	2012	2717	4	564	2613		924203					47	15		99		

