
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
1997	3	1	0	0	2	0	0	6000	0	0	0	0	0	0	0	0	0	
1998	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1999	2	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	0	0	
2000	1	0	0	0	27	0	0	0	20	0	0	0	0	0	0	0	0	
2001	8	7	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	
2002	8	82	17	0	177	30	0	1550	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	5	3	1	0	3000	0	0	10518	0	0	0	0	1	0	0	0	0	
2005	7	3	104	0	787	0	0	2895	400	0	0	0	1	0	0	0	0	
2006	4	0	14	0	0	758	0	580	0	0	0	0	1	0	0	0	0	
2007	9	8	5	0	544	0	0	1050	0	0	0	0	0	0	0	0	0	
2008	15	12	7	0	133	401	0	2389	0	0	0	0	3	0	0	0	0	
2009	23	24	57	0	203	1	0	1792	0	0	0	0	0	0	0	0	0	
2010	26	3	7	0	53	5	29	1692	0	0	0	0	2	0	0	0	0	
2011	45	24	20	24	701	0	58	7716	0	0	0	0	1	0	0	0	0	
2012	13	4	6	19	60	0	0	503	0	0	0	0	1	0	0	0	0	
2013	10	2	16	0	122	0	0	922	0	0	0	0	0	0	0	0	0	
2014	13	8	0	0	0	0	0	216	70	0	0	0	0	0	3000	0	0	
2015	39	1	0	0	40	24	0	3621	0	0	0	0	0	0	453	0	0	
2016	13	0	0	0	107	183	0	1164	0	0	0	0	0	0	0	0	0	
2017	5	9	205	0	971	0	0	5257	0	0	0	0	0	0	0	0	0	
2018	10	0	0	0	56	0	0	1577	0	0	0	0	0	0	0	0	0	
TOTAL	270	193	467	43	7013	1402	87	49442	493	6000			10		3453			

