
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	1	0	0	0	20	3	0	0	0	0	0	0	0	0	0	0	
1991	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	
2002	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	
2004	4	0	0	0	3	8	11	0	0	0	0	0	0	0	0	0	0	
2005	12	2	5	0	19	201	0	0	0	52	213200	566000	13	1	0	0	0	
2008	9	1	1	0	1	46	3	1000	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	
2010	14	0	0	0	4	31	4	0	0	0	0	84700	0	0	0	0	0	
2011	10	0	0	0	7	106	2	0	0	0	0	0	2	0	0	0	0	
TOTAL	60	8	7		39	442	42	1000		52	213200	650700	15	1				

